GO:0033036	Zm00001d034051
GO:0010646	Zm00001d036925
GO:0071705	Zm00001d031028
GO:0030036	Zm00001d021685
GO:0090114	Zm00001d004639
GO:0098656	Zm00001d009789
GO:0048588	Zm00001d051927
GO:0009739	Zm00001d002351
GO:0009700	Zm00001d010950
GO:0065003	Zm00001d043859
GO:0043038	Zm00001d005558
GO:0071369	Zm00001d047639
GO:0009932	Zm00001d013469
GO:0051276	Zm00001d015064
GO:0010604	Zm00001d017101
GO:0015833	Zm00001d050034
GO:0034622	Zm00001d046092
GO:0031128	Zm00001d027450
GO:0072594	Zm00001d018098
GO:0090567	Zm00001d013743
GO:0044262	Zm00001d016156
GO:0009892	Zm00001d044142
GO:0007034	Zm00001d030026
GO:0048609	Zm00001d042886
GO:0006302	Zm00001d014813
GO:0009966	Zm00001d023411
GO:0010817	Zm00001d052087
GO:0010029	Zm00001d039088
GO:0006325	Zm00001d041378
GO:0048316	Zm00001d037605
GO:0006857	Zm00001d036010
GO:0045935	Zm00001d021988
GO:0031109	Zm00001d034951
GO:0000041	Zm00001d025367
GO:0071369	Zm00001d033446
GO:0090627	Zm00001d031678
GO:0034613	Zm00001d047130
GO:0032787	Zm00001d035883
GO:0032535	Zm00001d042506
GO:0090066	Zm00001d043215
GO:0009846	Zm00001d025398
GO:0043068	Zm00001d043131
GO:0006812	Zm00001d043834
GO:0006826	Zm00001d047658
GO:0009832	Zm00001d047017
GO:0032508	Zm00001d053542
GO:0048522	Zm00001d012051
GO:0022613	Zm00001d032420
GO:0006470	Zm00001d026269
GO:2000028	Zm00001d030168
GO:0098732	Zm00001d038832
GO:0019760	Zm00001d002801
GO:1901135	Zm00001d047506
GO:0034050	Zm00001d033262
GO:0009933	Zm00001d025513
GO:0015914	Zm00001d021972
GO:0051346	Zm00001d043136
GO:0048229	Zm00001d047858
GO:0008654	Zm00001d042153
GO:1900140	Zm00001d042202
GO:0032877	Zm00001d023904
GO:0090627	Zm00001d043179
GO:0017144	Zm00001d024752
GO:0051301	Zm00001d038585
GO:0048229	Zm00001d002051
GO:0042886	Zm00001d044264
GO:0016441	Zm00001d041703
GO:0035265	Zm00001d017863
GO:0006732	Zm00001d041079
GO:0010628	Zm00001d021988
GO:0071495	Zm00001d044179
GO:0009651	Zm00001d038690
GO:0051247	Zm00001d032215
GO:0097502	Zm00001d043714
GO:0010167	Zm00001d009017
GO:0006281	Zm00001d017935
GO:0007389	Zm00001d049399
GO:0051726	Zm00001d013107
GO:0009744	Zm00001d025607
GO:0048480	Zm00001d006209
GO:0009270	Zm00001d009715
GO:0048438	Zm00001d009971
GO:0044265	Zm00001d002856
GO:0048589	Zm00001d044815
GO:0003013	Zm00001d022557
GO:0009132	Zm00001d023922
GO:0006368	Zm00001d018664
GO:0044092	Zm00001d030045
GO:0048523	Zm00001d016585
GO:0016053	Zm00001d046676
GO:0048364	Zm00001d013412
GO:0051641	Zm00001d002471
GO:0006754	Zm00001d047789
GO:0000280	Zm00001d025721
GO:0042180	Zm00001d046223
GO:0098661	Zm00001d005542
GO:0010557	Zm00001d019744
GO:0048278	Zm00001d004159
GO:0006457	Zm00001d005543
GO:0006281	Zm00001d007537
GO:0045184	Zm00001d035660
GO:0009832	Zm00001d032346
GO:0032446	Zm00001d036765
GO:0055070	Zm00001d045294
GO:0044255	Zm00001d013015
GO:0006790	Zm00001d048060
GO:0045454	Zm00001d013184
